7 6 4 2 1
12 7 6 4 2 1
7 12 6 4 2 1
7 6 12 4 2 1
9 7 6 4 2 1
7 9 6 4 2 1
7 6 9 4 2 1
1 2 3 4 5 6
12 1 2 3 4 5 6
1 12 2 3 4 5 6
1 2 12 3 4 5 6
1 2 3 12 4 5 6
1 2 3 4 12 5 6
1 2 3 4 5 12 6
1 2 3 4 5 6 12
11 12 13 14 15 16
1 11 12 13 14 15 16
11 1 12 13 14 15 16
11 12 1 13 14 15 16
11 12 13 1 14 15 16
11 12 13 14 1 15 16
11 12 13 14 15 1 16
11 12 13 14 15 16 1
6 5 4 3 2 1
12 6 5 4 3 2 1
6 12 5 4 3 2 1
6 5 12 4 3 2 1
6 5 4 12 3 2 1
6 5 4 3 12 2 1
6 5 4 3 2 12 1
6 5 4 3 2 1 12
16 15 14 13 12 11
1 16 15 14 13 12 11
16 1 15 14 13 12 11
16 15 1 14 13 12 11
16 15 14 1 13 12 11
16 15 14 13 1 12 11
16 15 14 13 12 1 11
16 15 14 13 12 11 1
14 11 12 13 14 15 16
11 10 12 13 14 15 16
11 12 11 13 14 15 16
11 12 13 12 14 15 16
11 12 13 14 13 15 16
11 12 13 14 15 14 16
11 12 13 14 15 16 15
15 16 15 14 13 12 11
16 16 15 14 13 12 11
16 15 16 14 13 12 11
16 15 14 15 13 12 11
16 15 14 13 14 12 11
16 15 14 13 12 13 11
16 15 14 13 12 11 12
